narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,action_presence,camera_motion,lighting,focus,action_completeness,object_presence,quality_score,combined_class
P11_104_51_2,P01,P01_09,00:29:33.4,00:29:32.9,00:29:34.1,106371,106444,dry hands,dry,8,hand,0,['hand'],[11],0,5.0,5.0,4.0,5.0,5.0,0.0,8_0
P22_07_635,P22,P22_07,00:30:38.4,00:30:33.8,00:30:40.1,110030,110407,rinse sink,rinse,2,sink,63,['sink'],[63],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,2_63
P01_05_49_2,P03,P03_04,00:04:16.0,00:04:14.4,00:04:15.6,15265,15334,put onion in bin,put-in,3,onion,3,"['onion', 'bin']","[16, 36]",0,4.0,4.0,5.0,4.0,4.0,0.0,3_3
P03_109_364_1,P25,P25_107,00:28:08.6,00:28:05.6,00:28:10.7,84279,84534,flip aubergine,flip,0,aubergine,32,['aubergine'],[67],0,5.0,5.0,5.0,5.0,5.0,0.0,0_32
P12_02_128_2,P12,P12_02_128_2,00:00:00.000,00:00:00.000,00:00:04.150,1,249,take tube tubes,take,0,tube:tube,227,['tube:tube'],[227],1,4.0,3.0,5.0,4.0,1.0,0.3647540983606557,0_227
P35_101_59_2,P22,P22_07,00:11:44.0,00:11:41.7,00:11:49.1,42100,42544,stir onion,stir,1,onion,19,['onion'],[16],0,5.0,5.0,5.0,5.0,5.0,0.0,1_19
P02_123_457_1,P03,P03_04,00:02:27.0,00:02:24.4,00:02:24.9,8662,8696,put knife,put,3,knife,36,['knife'],[4],0,5.0,5.0,5.0,5.0,5.0,0.0,3_36
P05_08_116_3,P02,P02_06,00:09:39.100,00:09:37.21,00:09:38.95,34632,34737,pick lettuce,pick,9,lettuce,68,['lettuce'],[120],0,5.0,4.0,5.0,4.0,3.0,0.0,9_68
P10_04_358_1,P10,P10_04_358_1,00:00:00.000,00:00:00.000,00:00:00.900,1,54,open cabinet again,open,3,cabinet,3,['cabinet'],[3],1,4.0,5.0,4.0,4.0,1.0,0.3910256410256411,3_3
P02_130_322_2,P06,P06_07,00:04:47.0,00:04:44.7,00:04:45.4,17079,17127,squeeze dough,squeeze,13,dough,49,['dough'],[25],0,5.0,5.0,5.0,5.0,5.0,0.0,13_49
P12_101_468_1,P12,P12_101_468_1,00:00:00.000,00:00:00.000,00:00:00.766,1,46,pick up salt container,pick-up,0,container:salt,21,['container:salt'],[21],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,0_21
P04_121_365_2,P04,P04_121_365_2,00:00:00.000,00:00:00.000,00:00:02.166,1,130,scoop whey using spatulas,scoop,16,whey,150,"['whey', 'spatula']","[150, 20]",1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,16_150
P02_130_308_2,P02,P02_130_308_2,00:00:00.000,00:00:00.000,00:00:02.283,1,137,mix biscuits and chocolate,mix,10,biscuit,104,"['biscuit', 'chocolate']","[104, 188]",1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,10_104
P10_04_423_0,P10,P10_04_423_0,00:00:00.000,00:00:00.000,00:00:01.166,1,70,put the spade back,put,1,spade,1,['spade'],[1],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,1_1
P03_05_18_2,P02,P02_130,00:00:47.165,00:00:46.92,00:00:47.42,2346,2371,close tap,turn-off,1,tap,55,['tap'],[0],0,3.0,3.0,4.0,3.0,3.0,0.0,1_55
P35_109_259_0,P35,P35_109_259_0,00:00:00.000,00:00:00.000,00:00:02.950,1,177,rinse cup,rinse,2,cup,13,['cup'],[13],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,2_13
P12_101_36_0,P12,P12_101_36_0,00:00:00.000,00:00:00.000,00:00:01.250,1,75,take out oil from cupboard,take-out,12,oil,31,"['oil', 'cupboard']","[31, 3]",0,,1.0,,,,0.0,12_31
P03_112_13,P03,P03_112,00:00:27.1,00:00:25.2,00:00:28.0,1259,1399,pick up mug,pick-up,0,mug,13,['mug'],[13],1,5.0,5.0,5.0,5.0,3.0,0.8529411764705883,0_13
P35_105_140_2,P03,P03_19,00:02:47.200,00:02:45.51,00:02:48.41,9930,10104,close bottle,close,11,bottle,5,['bottle'],[15],0,4.0,4.0,4.0,5.0,4.0,0.0,11_5
P28_101_54_0,P28,P28_101_54_0,00:00:00.000,00:00:00.000,00:00:00.866,1,52,take mozzarella,take,0,mozzarella,32,['mozzarella'],[32],1,5.0,1.0,5.0,5.0,4.0,0.4256756756756756,0_32
P02_112_63_0,P02,P02_112_63_0,00:00:00.000,00:00:00.000,00:00:10.833,1,650,mix spice with meat,mix-with,10,spice,85,"['spice', 'meat']","[85, 28]",1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,10_85
P01_19_42_1,P01,P01_19_42_1,00:00:00.000,00:00:00.000,00:00:01.133,1,68,turn on tap,turn-on,6,tap,0,['tap'],[0],1,5.0,4.0,3.0,1.0,5.0,0.3802521008403361,6_0
P03_04_68_2,P03,P03_04_68_2,00:00:00.000,00:00:00.000,00:00:07.750,1,465,peel onion,peel,19,onion,16,['onion'],[16],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,19_16
P30_111_307_1,P30,P30_111_307_1,00:00:00.000,00:00:00.000,00:00:03.000,1,180,scrub saucepan,scrub,29,saucepan,5,['saucepan'],[5],1,4.0,3.0,4.0,1.0,5.0,0.3647540983606557,29_5
P12_101_395_0,P12,P12_101_395_0,00:00:00.000,00:00:00.000,00:00:02.566,1,154,taste soup,taste,35,soup,126,['soup'],[126],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,35_126
P01_102_120,P01,P01_102,00:04:23.602,00:04:23.61,00:04:24.82,13180,13241,take lid,take,0,lid,6,['lid'],[6],1,5.0,5.0,5.0,5.0,4.0,0.9404761904761904,0_6
P01_09_45_1,P01,P01_09_45_1,00:00:00.000,00:00:00.000,00:00:01.250,1,75,dry hands,dry,14,hand,11,['hand'],[11],1,5.0,4.0,5.0,1.0,4.0,0.4078947368421053,14_11
P30_111_199_2,P28,P28_14,00:03:59.6,00:03:59.6,00:04:14.6,14373,15274,clean counter,clean,26,counter,15,['counter'],[42],0,4.0,5.0,4.0,5.0,4.0,0.0,26_15
P08_26_47_0,P08,P08_26_47_0,00:00:00.000,00:00:00.000,00:00:02.816,1,169,clean chopping board,clean,2,board:chopping,18,['board:chopping'],[18],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,2_18
P04_05_37_2,P35,P35_109,00:02:28.1,00:02:28.3,00:02:29.3,7414,7464,put down mug,put-down,3,mug,3,['mug'],[13],0,5.0,5.0,5.0,5.0,5.0,0.0,3_3
P03_112_47_2,P30,P30_111,00:11:38.4,00:11:37.5,00:11:38.5,34875,34925,pick up scotch egg,pick-up,1,egg:scotch,6,['egg:scotch'],[246],0,5.0,5.0,5.0,5.0,4.0,0.0,1_6
P11_104_157_3,P24,P24_01,00:06:31.610,00:06:28.59,00:06:34.30,23315,23658,dry hands with duster,dry-with,1,hand,47,"['hand', 'duster']","[11, 52]",0,5.0,5.0,5.0,5.0,5.0,0.0,1_47
P03_123_3_3,P02,P02_101,00:01:25.9,00:01:25.8,00:01:27.3,4291,4365,open fridge,open,10,fridge,115,['fridge'],[12],0,5.0,5.0,5.0,5.0,5.0,0.0,10_115
P03_101_205,P03,P03_101,00:08:33.1,00:08:32.7,00:08:33.5,25636,25676,put down washing up bowl in sink,put-down,1,bowl:washing:up,7,"['bowl:washing:up', 'sink']","[7, 63]",1,4.0,4.0,5.0,4.0,5.0,0.8369565217391306,1_7
P30_101_43_3,P27,P27_101,00:20:06.6,00:20:06.8,00:20:09.2,60341,60460,pick up degreaser,pick-up,2,degreaser,2,['degreaser'],[22],0,4.0,2.0,4.0,4.0,2.0,0.0,2_2
P01_01_38_0,P01,P01_01_38_0,00:00:00.000,00:00:00.000,00:00:04.849,1,291,turn on hob,turn-on,6,hob,24,['hob'],[24],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,6_24
P30_101_199,P30,P30_101,00:06:27.113,00:06:24.60,00:06:30.61,19230,19530,pour water into v60,pour-into,9,water,27,"['water', 'v60']","[27, 50]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,9_27
P03_123_42_2,P03,P03_123_42_2,00:00:00.000,00:00:00.000,00:00:05.700,1,342,ladle lemon curd into clip top jar,ladle,16,curd:lemon,115,"['curd:lemon', 'jar:clip:top']","[115, 40]",1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,16_115
P27_103_152,P27,P27_103,00:07:44.601,00:07:44.14,00:07:51.96,23207,23598,shake container,shake,15,container,21,['container'],[21],1,5.0,5.0,5.0,5.0,5.0,1.0,15_21
P28_14_70_1,P28,P28_14_70_1,00:00:00.000,00:00:00.000,00:00:01.250,1,75,put down sponge,put-down,1,sponge,9,['sponge'],[9],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,1_9
P05_08_13_0,P05,P05_08_13_0,00:00:00.000,00:00:00.000,00:00:01.483,1,89,start hob,start,6,hob,24,['hob'],[24],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,6_24
P08_21_5_1,P08,P08_21_5_1,00:00:00.000,00:00:00.000,00:00:01.916,1,115,take out food,take-out,12,food,34,['food'],[34],0,,,,,1.0,0.0,12_34
P05_08_128_1,P05,P05_08_128_1,00:00:00.000,00:00:00.000,00:00:01.616,1,97,rinse rag,rinse,2,rag,17,['rag'],[17],1,5.0,5.0,4.0,1.0,4.0,0.4078947368421053,2_17
P02_130_225,P02,P02_130,00:09:31.7,00:09:30.6,00:09:34.5,28531,28724,open cover of can,open,3,cover:can,89,['cover:can'],[89],1,5.0,5.0,5.0,5.0,5.0,1.0,3_89
P30_05_468,P30,P30_05,00:36:14.6,00:36:11.4,00:36:13.3,130281,130399,open water bottle,open,3,bottle:water,15,['bottle:water'],[15],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,3_15
P01_09_25_1,P01,P01_09_25_1,00:00:00.000,00:00:00.000,00:00:01.016,1,61,put cup into cupboard,put-into,5,cup,13,"['cup', 'cupboard']","[13, 3]",1,5.0,4.0,5.0,1.0,5.0,0.4256756756756756,5_13
P02_101_41,P02,P02_101,00:01:32.7,00:01:31.9,00:01:32.7,4595,4637,put jam,put,1,jam,115,['jam'],[115],1,5.0,5.0,5.0,5.0,5.0,1.0,1_115
P08_21_305_2,P08,P08_21_305_2,00:00:00.000,00:00:00.000,00:00:07.966,1,478,flip the pan,flip,22,pan,5,['pan'],[5],0,,,,,1.0,0.0,22_5
P28_104_195_1,P22,P22_117,00:04:37.6,00:04:37.5,00:04:38.1,13875,13904,turn on tap,turn-on,9,tap,27,['tap'],[0],0,5.0,5.0,4.0,5.0,5.0,0.0,9_27
P06_103_85_2,P04,P04_04,00:04:50.9,00:04:50.9,00:04:56.7,17451,17799,peel potato,peel,12,potato,6,['potato'],[30],0,5.0,5.0,5.0,5.0,5.0,0.0,12_6
P01_09_508_0,P01,P01_09_508_0,00:00:00.000,00:00:00.000,00:00:03.500,1,210,take dough,take,0,dough,25,['dough'],[25],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,0_25
P24_05_104_2,P05,P05_08,00:01:30.0,00:01:29.4,00:01:30.7,5365,5440,take pasta pack,take,0,pack:pasta,1,['pack:pasta'],[26],0,4.0,3.0,4.0,5.0,3.0,0.0,0_1
P13_10_17_1,P13,P13_10_17_1,00:00:00.000,00:00:00.000,00:00:01.149,1,69,take tomato,take,0,tomato,43,['tomato'],[43],1,5.0,5.0,4.0,1.0,5.0,0.4256756756756756,0_43
P12_02_112,P12,P12_02,00:18:27.1,00:18:24.8,00:18:28.8,66285,66525,throw away garbage,throw,13,garbage,54,['garbage'],[54],1,4.0,4.0,5.0,5.0,5.0,0.8863636363636362,13_54
P02_09_243_1,P02,P02_09_243_1,00:00:00.000,00:00:00.000,00:00:00.600,1,36,pick up knife,pick-up,0,knife,4,['knife'],[4],1,5.0,4.0,4.0,4.0,1.0,0.3910256410256411,0_4
P37_101_336_2,P37,P37_101_336_2,00:00:00.000,00:00:00.000,00:00:02.266,1,136,put coriander on chopping board,put-on,1,coriander,173,"['coriander', 'board:chopping']","[173, 18]",1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,1_173
P13_10_23,P13,P13_10,00:02:12.9,00:02:12.1,00:02:14.9,7925,8091,put tomato can in refrigerator,put-in,5,tomato,43,"['tomato', 'refrigerator']","[43, 12]",1,4.0,5.0,5.0,4.0,4.0,0.8369565217391306,5_43
P28_109_13_2,P01,P01_09,00:42:22.8,00:42:23.1,00:42:24.2,152586,152650,put down sauce,put-down,3,sauce,12,['sauce'],[47],0,5.0,5.0,5.0,5.0,5.0,0.0,3_12
P03_101_160_0,P03,P03_101_160_0,00:00:00.000,00:00:00.000,00:00:02.466,1,148,rinse out sponge,rinse-out,2,sponge,9,['sponge'],[9],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,2_9
P06_07_189_0,P06,P06_07_189_0,00:00:00.000,00:00:00.000,00:00:06.750,1,405,put down plate,put-down,1,plate,2,['plate'],[2],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,1_2
P24_05_297_0,P24,P24_05_297_0,00:00:00.000,00:00:00.000,00:00:03.649,1,219,pick up spoon,pick-up,0,spoon,1,['spoon'],[1],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,0_1
P30_05_539_2,P30,P30_05_539_2,00:00:00.000,00:00:00.000,00:00:04.883,1,293,top and tail carrot,top,7,carrot:tail,41,['carrot:tail'],[41],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,7_41
P04_110_10_0,P04,P04_110_10_0,00:00:00.000,00:00:00.000,00:00:00.900,1,54,put down oven dish,put-down,1,dish:oven,35,['dish:oven'],[35],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,1_35
P22_117_372_3,P03,P03_101,00:10:21.2,00:10:21.0,00:10:21.7,31051,31084,pick up cheese,pick-up,10,cheese,76,['cheese'],[32],0,4.0,4.0,4.0,3.0,3.0,0.0,10_76
P30_101_57_1,P30,P30_101_57_1,00:00:00.000,00:00:00.000,00:00:01.566,1,94,put down plate,put-down,1,plate,2,['plate'],[2],1,5.0,5.0,4.0,1.0,5.0,0.4256756756756756,1_2
P12_101_172,P12,P12_101,00:07:35.3,00:07:35.0,00:07:35.5,22748,22775,pick up spoon from countertop,pick-up,0,spoon,1,"['spoon', 'countertop']","[1, 42]",1,5.0,5.0,5.0,5.0,5.0,1.0,0_1
P22_117_351_0,P22,P22_117_351_0,00:00:00.000,00:00:00.000,00:00:00.300,1,18,turn on tap,turn-on,6,tap,0,['tap'],[0],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,6_0
P04_121_211,P04,P04_121,00:09:15.9,00:09:15.5,00:09:17.0,27777,27852,squirt washing up liquid into bowl,squirt,27,liquid:washing:up,22,"['liquid:washing:up', 'bowl']","[22, 7]",1,4.0,4.0,4.0,4.0,4.0,0.75,27_22
P20_03_28_2,P20,P20_03_28_2,00:00:00.000,00:00:00.000,00:00:03.533,1,212,take bread from cupboard,take-from,0,bread,33,"['bread', 'cupboard']","[33, 3]",1,5.0,5.0,5.0,4.0,1.0,0.4256756756756756,0_33
P03_101_0_2,P30,P30_111,00:14:11.35,00:14:10.86,00:14:11.86,42543,42593,pick up sponge,pick-up,6,sponge,0,['sponge'],[9],0,5.0,5.0,4.0,5.0,5.0,0.0,6_0
P37_101_142_0,P37,P37_101_142_0,00:00:00.000,00:00:00.000,00:00:21.066,1,1264,cut cucumbers,cut,7,cucumber,72,['cucumber'],[72],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,7_72
P06_107_23_1,P06,P06_107_23_1,00:00:00.000,00:00:00.000,00:00:01.033,1,62,spread flour,spread,27,flour,75,['flour'],[75],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,27_75
P04_110_6_2,P27,P27_101,00:13:57.4,00:13:55.8,00:14:03.2,41792,42161,wash pan,wash,0,pan,6,['pan'],[5],0,4.0,4.0,5.0,4.0,5.0,0.0,0_6
P03_109_47_0,P03,P03_109_47_0,00:00:00.000,00:00:00.000,00:00:00.800,1,48,put ladle in drying rack,put-in,5,ladle,97,"['ladle', 'rack:drying']","[97, 110]",1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,5_97
P24_05_63,P24,P24_05,00:06:20.6,00:06:13.6,00:06:19.3,22417,22755,close cupboard,close,4,cupboard,3,['cupboard'],[3],0,,,,,,0.0,4_3
P04_101_55,P04,P04_101,00:01:44.9,00:01:44.5,00:01:44.8,5226,5241,close drawer,close,4,drawer,8,['drawer'],[8],1,4.0,5.0,3.0,3.0,2.0,0.5231958762886598,4_8
P08_05_348_1,P01,P01_104,00:00:22.9,00:00:22.7,00:00:23.3,1137,1167,take sponge,take,2,sponge,43,['sponge'],[9],0,5.0,5.0,4.0,4.0,4.0,0.0,2_43
P35_107_261,P35,P35_107,00:19:39.101,00:19:38.83,00:19:39.64,58941,58982,turn off tap,turn-off,8,tap,0,['tap'],[0],1,4.0,4.0,4.0,5.0,3.0,0.7240259740259741,8_0
P03_101_224_2,P22,P22_103,00:07:40.351,00:07:39.66,00:07:40.86,22983,23043,pick up jar,pick-up,0,jar,33,['jar'],[40],0,5.0,5.0,3.0,5.0,5.0,0.0,0_33
P03_120_156_1,P03,P03_120_156_1,00:00:00.000,00:00:00.000,00:00:03.000,1,180,juice lemon half,juice,18,half:lemon,105,['half:lemon'],[105],1,3.0,5.0,5.0,1.0,3.0,0.3548387096774194,18_105
P29_01_218_1,P25,P25_104,00:09:47.109,00:09:46.23,00:09:47.63,29311,29381,pick up spoon,pick-up,9,spoon,138,['spoon'],[1],0,4.0,4.0,4.0,3.0,4.0,0.0,9_138
P11_103_7_1,P11,P11_103_7_1,00:00:00.000,00:00:00.000,00:00:00.833,1,50,push leeks onto chopping board,push-onto,21,leek,117,"['leek', 'board:chopping']","[117, 18]",1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,21_117
P04_107_454_0,P04,P04_107_454_0,00:00:00.000,00:00:00.000,00:00:00.516,1,31,pick up pastry brush,pick-up,0,brush:pastry,103,['brush:pastry'],[103],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,0_103
P24_05_237,P24,P24_05,00:20:34.9,00:20:34.1,00:20:38.0,74047,74280,close oil bottle,close,4,bottle:oil,15,['bottle:oil'],[15],1,3.0,3.0,2.0,2.0,2.0,0.326923076923077,4_15
P03_04_292_0,P03,P03_04_292_0,00:00:00.000,00:00:00.000,00:00:03.533,1,212,fill squash,fill,26,squash,116,['squash'],[116],0,,1.0,,,,0.0,26_116
P35_105_361_1,P35,P35_105_361_1,00:00:00.000,00:00:00.000,00:00:01.750,1,105,move pan,move,11,pan,5,['pan'],[5],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,11_5
P22_110_107,P22,P22_110,00:02:53.601,00:02:52.61,00:02:53.55,8630,8677,rinse spoon rest,rinse,2,rest:spoon,109,['rest:spoon'],[109],1,4.0,5.0,4.0,3.0,4.0,0.7240259740259741,2_109
P15_02_19_0,P15,P15_02_19_0,00:00:00.000,00:00:00.000,00:00:03.000,1,180,pick up potato peeler,pick-up,0,peeler:potato,87,['peeler:potato'],[87],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,0_87
P06_101_327_0,P06,P06_101_327_0,00:00:00.000,00:00:00.000,00:00:03.266,1,196,roll up bag,roll-up,36,bag,19,['bag'],[19],1,4.0,1.0,5.0,4.0,4.0,0.3910256410256411,36_19
P30_05_628,P30,P30_05,00:45:28.0,00:45:43.4,00:45:45.2,164606,164713,put carrot peelings in bin,put-in,5,peeling:carrot,48,"['peeling:carrot', 'bin']","[48, 36]",1,4.0,3.0,3.0,2.0,3.0,0.4642857142857143,5_48
P30_111_312_2,P25,P25_107,00:07:04.6,00:07:04.6,00:07:05.5,21232,21274,take fork,take,0,fork,1,['fork'],[14],0,4.0,4.0,3.0,3.0,5.0,0.0,0_1
P07_02_14_2,P03,P03_109,00:14:09.851,00:14:09.68,00:14:10.50,42484,42525,move tap,move,10,tap,127,['tap'],[0],0,5.0,5.0,5.0,5.0,5.0,0.0,10_127
P23_02_19_0,P23,P23_02_19_0,00:00:00.000,00:00:00.000,00:01:02.166,1,3730,cutting the onion into the small pieces,cut-into,7,onion,16,['onion'],[16],1,4.0,1.0,4.0,5.0,4.0,0.3910256410256411,7_16
P02_107_24,P02,P02_107,00:00:50.4,00:00:50.6,00:00:51.7,2531,2586,empty pods into bin,empty,20,pod,59,"['pod', 'bin']","[59, 36]",1,5.0,5.0,5.0,4.0,5.0,0.9404761904761904,20_59
P27_101_183_1,P27,P27_101_183_1,00:00:00.000,00:00:00.000,00:00:00.550,1,33,open garbage bin,open,3,bin:garbage,36,['bin:garbage'],[36],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,3_36
P01_01_48_1,P01,P01_01_48_1,00:00:00.000,00:00:00.000,00:00:00.666,1,40,close drawer,close,4,drawer,8,['drawer'],[8],1,5.0,5.0,5.0,4.0,1.0,0.4256756756756756,4_8
P01_09_595_0,P01,P01_09_595_0,00:00:00.000,00:00:00.000,00:00:02.049,1,123,put dough onto tray,put-onto,1,dough,25,"['dough', 'tray']","[25, 35]",1,4.0,1.0,4.0,4.0,5.0,0.3910256410256411,1_25
P22_117_268,P22,P22_117,00:10:43.9,00:10:43.2,00:10:43.7,32160,32183,close lid,close,4,lid,6,['lid'],[6],1,5.0,4.0,5.0,4.0,4.0,0.8369565217391306,4_6
P28_109_38_0,P28,P28_109_38_0,00:00:00.000,00:00:00.000,00:00:02.766,1,166,open almond drink,open,3,drink:almond,209,['drink:almond'],[209],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,3_209
P01_107_33,P01,P01_107,00:01:01.353,00:01:01.09,00:01:01.85,3054,3092,open bottle,open,3,bottle,15,['bottle'],[15],1,5.0,5.0,5.0,5.0,5.0,1.0,3_15
P22_117_110_2,P22,P22_117_110_2,00:00:00.000,00:00:00.000,00:00:04.000,1,240,rinse container,rinse,2,container,21,['container'],[21],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,2_21
P11_103_30_0,P11,P11_103_30_0,00:00:00.000,00:00:00.000,00:00:00.866,1,52,put chopping block on drying rack,put-on,1,block:chopping,18,"['block:chopping', 'rack:drying']","[18, 110]",1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,1_18
P04_121_256_0,P04,P04_121_256_0,00:00:00.000,00:00:00.000,00:00:08.366,1,502,stir cheese curds in pan using spatula,stir-in,10,curd:cheese,32,"['curd:cheese', 'pan', 'spatula']","[32, 5, 20]",1,5.0,1.0,5.0,4.0,4.0,0.4078947368421053,10_32
P04_04_138_2,P04,P04_04_138_2,00:00:00.000,00:00:00.000,00:00:02.683,1,161,test potato,test,24,potato,30,['potato'],[30],1,5.0,4.0,5.0,5.0,1.0,0.4256756756756756,24_30
P05_08_10_0,P05,P05_08_10_0,00:00:00.000,00:00:00.000,00:00:01.800,1,108,press switch,press,21,switch,92,['switch'],[92],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,21_92
P30_05_378_2,P30,P30_05_378_2,00:00:00.000,00:00:00.000,00:00:08.699,1,522,fill pan with water,fill-with,26,pan,5,"['pan', 'water']","[5, 27]",1,5.0,3.0,5.0,5.0,1.0,0.396551724137931,26_5
P04_121_211_0,P04,P04_121_211_0,00:00:00.000,00:00:00.000,00:00:01.250,1,75,squirt washing up liquid into bowl,squirt,27,liquid:washing:up,22,"['liquid:washing:up', 'bowl']","[22, 7]",1,4.0,1.0,4.0,4.0,4.0,0.375,27_22
P22_117_372_0,P22,P22_117_372_0,00:00:00.000,00:00:00.000,00:00:04.416,1,265,stir courgettes,stir,10,courgette,76,['courgette'],[76],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,10_76
P06_07_221_2,P03,P03_20,00:04:39.129,00:04:41.23,00:04:46.15,16873,17169,empty plug in bin,empty,0,plug,2,"['plug', 'bin']","[153, 36]",0,4.0,3.0,4.0,5.0,4.0,0.0,0_2
P22_07_0_1,P22,P22_07_0_1,00:00:00.000,00:00:00.000,00:00:01.100,1,66,put down clip,put-down,1,clip,129,['clip'],[129],1,5.0,5.0,3.0,1.0,4.0,0.3802521008403361,1_129
P03_111_14,P03,P03_111,00:00:24.602,00:00:23.90,00:00:26.22,1195,1311,shake tupperware,shake,15,tupperware,23,['tupperware'],[23],1,5.0,5.0,5.0,5.0,4.0,0.9404761904761904,15_23
P30_05_245_2,P11,P11_105,00:01:23.4,00:01:21.4,00:01:23.8,4071,4192,remove pizza packaging,remove,3,packaging:pizza,23,['packaging:pizza'],[26],0,4.0,5.0,5.0,3.0,5.0,0.0,3_23
P20_03_13,P20,P20_03,00:00:34.380,00:00:33.98,00:00:37.42,2038,2245,close cereal box,close,4,box:cereal,23,['box:cereal'],[23],1,4.0,4.0,5.0,5.0,4.0,0.8369565217391306,4_23
P04_101_25_0,P04,P04_101_25_0,00:00:00.000,00:00:00.000,00:00:00.616,1,37,move tub,move,11,tub,23,['tub'],[23],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,11_23
P03_04_55_1,P03,P03_04_55_1,00:00:00.000,00:00:00.000,00:00:00.566,1,34,put knife,put,1,knife,4,['knife'],[4],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,1_4
P30_111_290_0,P30,P30_111_290_0,00:00:00.000,00:00:00.000,00:00:00.833,1,50,pick up scotch egg,pick-up,0,egg:scotch,246,['egg:scotch'],[246],1,5.0,1.0,5.0,5.0,4.0,0.4256756756756756,0_246
P06_103_35_2,P06,P06_103_35_2,00:00:00.000,00:00:00.000,00:00:03.733,1,224,pick up kettle,pick-up,0,kettle,44,['kettle'],[44],1,5.0,4.0,3.0,5.0,1.0,0.3802521008403361,0_44
P30_101_190_0,P30,P30_101_190_0,00:00:00.000,00:00:00.000,00:00:05.799,1,348,pour water,pour,9,water,27,['water'],[27],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,9_27
P01_07_43_3,P05,P05_08,00:06:08.0,00:06:11.2,00:06:17.0,22272,22620,rinse packaging,rinse,9,packaging,64,['packaging'],[26],0,5.0,3.0,5.0,5.0,5.0,0.0,9_64
P30_110_82_2,P27,P27_103,00:07:44.601,00:07:44.14,00:07:51.96,23207,23598,shake container,shake,27,container,22,['container'],[21],0,5.0,5.0,5.0,5.0,5.0,0.0,27_22
P08_21_10_2,P08,P08_21_10_2,00:00:00.000,00:00:00.000,00:00:03.283,1,197,take out mugs,take-out,12,mug,13,['mug'],[13],1,5.0,5.0,4.0,5.0,1.0,0.4256756756756756,12_13
P24_05_237_0,P24,P24_05_237_0,00:00:00.000,00:00:00.000,00:00:03.883,1,233,close oil bottle,close,4,bottle:oil,15,['bottle:oil'],[15],1,3.0,1.0,2.0,2.0,2.0,0.1911764705882352,4_15
P30_05_462,P30,P30_05,00:36:05.7,00:36:03.9,00:36:04.8,129835,129889,open fridge,open,3,fridge,12,['fridge'],[12],1,5.0,5.0,5.0,5.0,5.0,1.0,3_12
P28_103_137_0,P28,P28_103_137_0,00:00:00.000,00:00:00.000,00:00:02.166,1,130,put oil,put,1,oil,31,['oil'],[31],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,1_31
P02_128_26,P02,P02_128,00:00:55.7,00:00:55.6,00:00:57.0,2779,2851,empty milk bottle,empty,20,bottle:milk,15,['bottle:milk'],[15],1,5.0,5.0,5.0,5.0,5.0,1.0,20_15
